Zeit;Kanal A
(ms);(mV)

-21,53666581;2,60642200
-21,53166581;3,90994000
-21,52666581;3,53715500
-21,52166581;4,65428200
-21,51666581;4,28211100
-21,51166581;4,09571800
-21,50666581;3,72354800
-21,50166581;4,28211100
-21,49666581;4,28211100
-21,49166581;4,28211100
-21,48666581;4,65428200
-21,48166581;4,46850300
-21,47666581;4,28211100
-21,47166581;4,28211100
-21,46666581;3,90994000
-21,46166581;4,28211100
-21,45666581;4,28211100
-21,45166581;4,46850300
-21,44666581;3,90994000
-21,44166581;4,28211100
-21,43666581;4,28211100
-21,43166581;4,09571800
-21,42666581;4,65428200
-21,42166581;4,84067400
-21,41666581;5,21284400
-21,41166581;4,84067400
-21,40666581;4,84067400
-21,40166581;4,46850300
-21,39666581;4,65428200
-21,39166581;4,46850300
-21,38666581;4,65428200
-21,38166581;4,28211100
-21,37666581;4,28211100
-21,37166581;2,42002900
-21,36666581;3,90994000
-21,36166581;3,90994000
-21,35666581;3,72354800
-21,35166581;3,72354800
-21,34666581;3,53715500
-21,34166581;2,97859200
-21,33666581;3,53715500
-21,33166581;3,72354800
-21,32666581;2,79281500
-21,32166581;2,97859200
-21,31666581;2,97859200
-21,31166581;2,60642200
-21,30666581;2,79281500
-21,30166581;3,16498500
-21,29666581;3,16498500
-21,29166581;3,53715500
-21,28666581;2,79281500
-21,28166581;2,23425200
-21,27666581;2,79281500
-21,27166581;2,97859200
-21,26666581;2,97859200
-21,26166581;3,90994000
-21,25666581;3,72354800
-21,25166581;3,72354800
-21,24666581;3,90994000
-21,24166581;3,72354800
-21,23666581;3,90994000
-21,23166581;3,35137800
-21,22666581;3,72354800
-21,22166581;4,28211100
-21,21666581;4,28211100
-21,21166581;4,65428200
-21,20666581;5,39923700
-21,20166581;4,09571800
-21,19666581;5,02706700
-21,19166581;5,39923700
-21,18666581;5,02706700
-21,18166581;5,58562900
-21,17666582;3,90994000
-21,17166582;4,84067400
-21,16666582;5,58562900
-21,16166582;5,39923700
-21,15666582;4,65428200
-21,15166582;5,21284400
-21,14666582;5,21284400
-21,14166582;4,46850300
-21,13666582;5,21284400
-21,13166582;4,65428200
-21,12666582;4,84067400
-21,12166582;4,84067400
-21,11666582;4,84067400
-21,11166582;5,02706700
-21,10666582;4,84067400
-21,10166582;4,28211100
-21,09666582;4,65428200
-21,09166582;4,84067400
-21,08666582;4,65428200
-21,08166582;4,84067400
-21,07666582;5,21284400
-21,07166582;4,84067400
-21,06666582;4,65428200
-21,06166582;4,84067400
-21,05666582;4,84067400
-21,05166582;4,65428200
-21,04666582;5,39923700
-21,04166582;5,02706700
-21,03666582;4,84067400
-21,03166582;4,84067400
-21,02666582;4,28211100
-21,02166582;4,28211100
-21,01666582;4,28211100
-21,01166582;4,28211100
-21,00666582;4,09571800
-21,00166582;5,02706700
-20,99666582;4,09571800
-20,99166582;4,28211100
-20,98666582;3,90994000
-20,98166582;3,16498500
-20,97666582;3,53715500
-20,97166582;3,35137800
-20,96666582;4,28211100
-20,96166582;2,42002900
-20,95666582;3,35137800
-20,95166582;3,35137800
-20,94666582;3,72354800
-20,94166582;2,97859200
-20,93666582;2,42002900
-20,93166582;1,30290300
-20,92666582;3,72354800
-20,92166582;2,04785900
-20,91666582;2,23425200
-20,91166582;2,23425200
-20,90666582;1,48929600
-20,90166582;1,86146600
-20,89666582;1,86146600
-20,89166582;0,74434050
-20,88666582;2,04785900
-20,88166582;2,79281500
-20,87666582;1,86146600
-20,87166582;1,67568900
-20,86666582;1,11712600
-20,86166582;1,86146600
-20,85666582;1,30290300
-20,85166582;0,55856290
-20,84666582;1,48929600
-20,84166582;1,86146600
-20,83666582;1,86146600
-20,83166582;1,48929600
-20,82666582;2,04785900
-20,82166582;0,93073320
-20,81666582;1,48929600
-20,81166582;2,04785900
-20,80666582;1,48929600
-20,80166582;1,48929600
-20,79666582;1,86146600
-20,79166582;2,42002900
-20,78666582;1,48929600
-20,78166583;1,30290300
-20,77666583;2,04785900
-20,77166583;1,86146600
-20,76666583;1,67568900
-20,76166583;1,86146600
-20,75666583;1,86146600
-20,75166583;1,86146600
-20,74666583;1,48929600
-20,74166583;2,04785900
-20,73666583;2,23425200
-20,73166583;1,48929600
-20,72666583;2,04785900
-20,72166583;1,86146600
-20,71666583;1,48929600
-20,71166583;1,86146600
-20,70666583;2,04785900
-20,70166583;2,23425200
-20,69666583;1,86146600
-20,69166583;2,04785900
-20,68666583;1,86146600
-20,68166583;2,04785900
-20,67666583;1,67568900
-20,67166583;2,04785900
-20,66666583;1,67568900
-20,66166583;0,74434050
-20,65666583;1,48929600
-20,65166583;1,86146600
-20,64666583;0,55856290
-20,64166583;0,55856290
-20,63666583;0,93073320
-20,63166583;1,11712600
-20,62666583;1,11712600
-20,62166583;0,74434050
-20,61666583;0,93073320
-20,61166583;0,00000000
-20,60666583;0,74434050
-20,60166583;0,55856290
-20,59666583;0,18577760
-20,59166583;0,37217020
-20,58666583;0,00000000
-20,58166583;0,18577760
-20,57666583;0,00000000
-20,57166583;0,00000000
-20,56666583;-0,74434050
-20,56166583;-1,67568900
-20,55666583;-1,30290300
-20,55166583;-1,30290300
-20,54666583;-1,48929600
-20,54166583;-1,67568900
-20,53666583;-1,67568900
-20,53166583;-2,23425200
-20,52666583;-2,04785900
-20,52166583;-2,97859200
-20,51666583;-2,79281500
-20,51166583;-3,53715500
-20,50666583;-3,53715500
-20,50166583;-3,90994000
-20,49666583;-4,65428200
-20,49166583;-5,39923700
-20,48666583;-5,95780000
-20,48166583;-6,14419300
-20,47666583;-6,88853300
-20,47166583;-7,26131900
-20,46666583;-8,75061500
-20,46166583;-8,19205200
-20,45666583;-8,56422200
-20,45166583;-9,12278500
-20,44666583;-8,93700700
-20,44166583;-8,37844500
-20,43666583;-7,81988100
-20,43166583;-7,26131900
-20,42666583;-6,32997000
-20,42166583;-5,02706700
-20,41666583;-4,84067400
-20,41166583;-3,90994000
-20,40666583;-2,79281500
-20,40166583;-2,23425200
-20,39666583;-2,42002900
-20,39166583;-2,42002900
-20,38666584;-2,04785900
-20,38166584;-1,67568900
-20,37666584;-2,23425200
-20,37166584;-2,79281500
-20,36666584;-3,35137800
-20,36166584;-2,79281500
-20,35666584;-2,60642200
-20,35166584;-3,53715500
-20,34666584;-3,35137800
-20,34166584;-2,60642200
-20,33666584;-2,60642200
-20,33166584;-2,23425200
-20,32666584;-2,23425200
-20,32166584;-2,04785900
-20,31666584;-1,11712600
-20,31166584;-1,48929600
-20,30666584;-1,30290300
-20,30166584;-2,23425200
-20,29666584;-2,23425200
-20,29166584;-2,42002900
-20,28666584;-2,60642200
-20,28166584;-2,97859200
-20,27666584;-4,09571800
-20,27166584;-4,28211100
-20,26666584;-5,02706700
-20,26166584;-5,21284400
-20,25666584;-4,46850300
-20,25166584;-3,90994000
-20,24666584;-4,28211100
-20,24166584;-3,35137800
-20,23666584;-3,53715500
-20,23166584;-3,16498500
-20,22666584;-2,97859200
-20,22166584;-2,04785900
-20,21666584;-1,67568900
-20,21166584;-1,48929600
-20,20666584;0,00000000
-20,20166584;-2,04785900
-20,19666584;-1,67568900
-20,19166584;-1,67568900
-20,18666584;-2,23425200
-20,18166584;-2,23425200
-20,17666584;-2,97859200
-20,17166584;-3,16498500
-20,16666584;-2,04785900
-20,16166584;-1,11712600
-20,15666584;-2,60642200
-20,15166584;-0,93073320
-20,14666584;-0,55856290
-20,14166584;0,00000000
-20,13666584;0,74434050
-20,13166584;0,93073320
-20,12666584;0,93073320
-20,12166584;1,67568900
-20,11666584;1,48929600
-20,11166584;2,04785900
-20,10666584;2,79281500
-20,10166584;2,79281500
-20,09666584;3,16498500
-20,09166584;2,79281500
-20,08666584;3,35137800
-20,08166584;2,79281500
-20,07666584;2,97859200
-20,07166584;2,60642200
-20,06666584;3,35137800
-20,06166584;2,79281500
-20,05666584;1,48929600
-20,05166584;2,23425200
-20,04666584;2,79281500
-20,04166584;3,35137800
-20,03666584;2,79281500
-20,03166584;2,60642200
-20,02666584;2,79281500
-20,02166584;2,97859200
-20,01666584;2,23425200
-20,01166584;3,16498500
-20,00666584;2,04785900
-20,00166584;2,42002900
-19,99666584;2,79281500
-19,99166585;2,42002900
-19,98666585;2,79281500
-19,98166585;2,23425200
-19,97666585;1,48929600
-19,97166585;2,23425200
-19,96666585;2,42002900
-19,96166585;1,30290300
-19,95666585;2,42002900
-19,95166585;2,04785900
-19,94666585;1,67568900
-19,94166585;1,86146600
-19,93666585;1,86146600
-19,93166585;1,86146600
-19,92666585;1,86146600
-19,92166585;1,86146600
-19,91666585;1,30290300
-19,91166585;1,67568900
-19,90666585;1,86146600
-19,90166585;1,67568900
-19,89666585;1,86146600
-19,89166585;2,42002900
-19,88666585;1,86146600
-19,88166585;1,48929600
-19,87666585;0,00000000
-19,87166585;1,48929600
-19,86666585;0,93073320
-19,86166585;0,93073320
-19,85666585;0,93073320
-19,85166585;0,18577760
-19,84666585;0,00000000
-19,84166585;-0,18577760
-19,83666585;-0,18577760
-19,83166585;-0,37217020
-19,82666585;-0,18577760
